file,duration_sec,overall_rms,peak,peak_pct,low5_rms,high5_rms,high_low_ratio
debug_1789433857.wav,13.16,375.93,3416,10.43,193.47,513.7,2.655
debug_1789433874.wav,1.9,1185.78,4080,12.45,276.74,1886.48,6.817
debug_1789433993.wav,84.96,343.48,3932,12.0,253.63,458.48,1.808
debug_1789437491.wav,0.684,465.77,3298,10.07,196.01,1014.58,5.176
debug_1789437563.wav,48.392,341.87,3500,10.68,264.2,450.14,1.704
debug_1789437654.wav,1.792,613.26,3412,10.41,292.46,989.35,3.383
debug_1789438130.wav,83.5,554.5,2318,7.07,426.32,684.75,1.606
debug_1789439084.wav,74.56,325.35,3294,10.05,268.59,406.78,1.515
debug_1789439107.wav,1.86,465.5,2570,7.84,279.12,665.28,2.384
debug_1789439151.wav,3.468,794.83,3512,10.72,291.53,1224.07,4.199
debug_1789439183.wav,3.892,865.33,3586,10.94,292.13,1419.84,4.86
debug_1789454101.wav,0.476,295.05,1500,4.58,252.14,371.17,1.472
debug_1789454121.wav,0.484,317.68,3428,10.46,227.95,483.93,2.123
debug_1789454147.wav,1.48,998.19,3620,11.05,256.53,1862.79,7.261
debug_1789535334.wav,0.96,375.9,3508,10.71,276.77,506.62,1.83
debug_1789535356.wav,3.56,441.09,3098,9.45,285.62,641.48,2.246
debug_1790151468.wav,0.86,449.22,3448,10.52,348.47,617.31,1.771
debug_1790158102.wav,0.228,268.05,1080,3.3,265.58,281.7,1.061
debug_1790159016.wav,1.852,371.76,2348,7.17,290.28,474.91,1.636
debug_1790159034.wav,0.552,350.8,1370,4.18,290.1,513.3,1.769
debug_1790159649.wav,1.02,357.83,2244,6.85,254.83,545.5,2.141
debug_1790159677.wav,1.06,341.78,1876,5.73,252.27,451.58,1.79
debug_1790161890.wav,0.672,893.72,3474,10.6,270.82,1712.96,6.325
debug_1790161906.wav,1.136,795.22,3688,11.26,229.84,1532.38,6.667
debug_1790161978.wav,1.86,352.67,2062,6.29,269.66,506.58,1.879
debug_1790162166.wav,0.596,320.94,2002,6.11,299.78,349.94,1.167
debug_1790162638.wav,4.5,384.15,1868,5.7,303.42,435.49,1.435
debug_1790163145.wav,0.552,457.47,2210,6.74,255.51,910.59,3.564
debug_1790163180.wav,1.06,332.67,2054,6.27,238.59,479.23,2.009
debug_1790163233.wav,3.232,314.37,2068,6.31,257.11,401.65,1.562
debug_1790163258.wav,1.46,309.58,1904,5.81,241.07,377.26,1.565
debug_1790163277.wav,0.756,400.01,2202,6.72,274.68,584.85,2.129
debug_1790163413.wav,0.864,360.95,1690,5.16,270.42,460.07,1.701
debug_1790163441.wav,3.46,296.4,2034,6.21,246.24,341.83,1.388
debug_1790163705.wav,0.956,325.34,2066,6.31,263.94,397.71,1.507
debug_1790163854.wav,1.456,362.33,1858,5.67,272.34,419.95,1.542
debug_1790164111.wav,14.176,367.32,2228,6.8,280.48,440.63,1.571
debug_1790167045.wav,11.108,328.55,2326,7.1,258.43,397.36,1.538
debug_1790167283.wav,10.056,359.59,2332,7.12,250.74,479.11,1.911
debug_1790167316.wav,6.66,448.62,3532,10.78,243.25,644.16,2.648
debug_1790167366.wav,9.46,462.42,3662,11.18,241.74,644.52,2.666
debug_1790167389.wav,5.06,454.81,3548,10.83,259.67,775.45,2.986
debug_1790167409.wav,2.756,788.64,3542,10.81,216.9,1318.12,6.077
debug_1790167470.wav,0.96,357.04,2356,7.19,221.9,469.05,2.114
